"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 13 11:44:10 GMT 2023","Wed Dec 13 11:44:10 GMT 2023","184","chromium","stoplist_test.spec.ts","Stoplist Page","","","Test Cases -> Name and Statuses with the word: pornhub",""
"passed","Wed Dec 13 11:40:22 GMT 2023","Wed Dec 13 11:40:22 GMT 2023","305","chromium","stoplist_test.spec.ts","Stoplist Page","","","Test Cases -> Chat Only En with the word: punany",""
"failed","Wed Dec 13 11:45:22 GMT 2023","Wed Dec 13 11:45:22 GMT 2023","450","chromium","stoplist_test.spec.ts","Stoplist Page","","","Test Cases -> Name and Statuses with the word: wigglenibble",""
"passed","Wed Dec 13 11:42:55 GMT 2023","Wed Dec 13 11:42:55 GMT 2023","226","chromium","stoplist_test.spec.ts","Stoplist Page","","","Test Cases -> Name and Statuses with the word: fap",""
"passed","Wed Dec 13 11:44:28 GMT 2023","Wed Dec 13 11:44:29 GMT 2023","252","chromium","stoplist_test.spec.ts","Stoplist Page","","","Test Cases -> Name and Statuses with the word: sh0wpossi",""
"failed","Wed Dec 13 11:43:23 GMT 2023","Wed Dec 13 11:43:23 GMT 2023","356","chromium","stoplist_test.spec.ts","Stoplist Page","","","Test Cases -> Name and Statuses with the word: honeyroastchat",""
"failed","Wed Dec 13 11:41:24 GMT 2023","Wed Dec 13 11:41:25 GMT 2023","492","chromium","stoplist_test.spec.ts","Stoplist Page","","","Test Cases -> Chat Only Ru with the word: poluchitpizdy",""
"passed","Wed Dec 13 11:42:55 GMT 2023","Wed Dec 13 11:42:55 GMT 2023","184","chromium","stoplist_test.spec.ts","Stoplist Page","","","Test Cases -> Name and Statuses with the word: fath3r",""
"failed","Wed Dec 13 11:43:07 GMT 2023","Wed Dec 13 11:43:07 GMT 2023","309","chromium","stoplist_test.spec.ts","Stoplist Page","","","Test Cases -> Name and Statuses with the word: fullenjoy",""
"passed","Wed Dec 13 11:40:58 GMT 2023","Wed Dec 13 11:40:58 GMT 2023","256","chromium","stoplist_test.spec.ts","Stoplist Page","","","Test Cases -> Chat Only Es with the word: Hijoputa",""
