"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Feb 20 07:20:10 GMT 2024","Tue Feb 20 07:21:17 GMT 2024","66864","chromium","stoplist_test.spec.ts","3003 API test ","","","Test Cases -> Chat Only Es",""
"passed","Tue Feb 20 07:19:03 GMT 2024","Tue Feb 20 07:22:25 GMT 2024","201363","chromium","stoplist_test.spec.ts","3003 API test ","","","Test Cases -> Name and Status part-2",""
"passed","Tue Feb 20 07:19:03 GMT 2024","Tue Feb 20 07:19:28 GMT 2024","24446","chromium","stoplist_test.spec.ts","3003 API test ","","","Test Cases -> Private Chat",""
"passed","Tue Feb 20 07:19:03 GMT 2024","Tue Feb 20 07:19:31 GMT 2024","28120","chromium","stoplist_test.spec.ts","3003 API test ","","","Test Cases -> Chat Only Ru",""
"failed","Tue Feb 20 07:22:16 GMT 2024","Tue Feb 20 07:25:24 GMT 2024","188562","chromium","stoplist_test.spec.ts","3003 API test ","","","Test Cases -> Chat Only En",""
"passed","Tue Feb 20 07:19:03 GMT 2024","Tue Feb 20 07:22:26 GMT 2024","202583","chromium","stoplist_test.spec.ts","3003 API test ","","","Test Cases -> Name and Status part-1",""
